kind,set,series,category,spot_id,pdf_x_pt,pdf_y_pt,panel_x_norm,panel_y_norm,pixel_x,pixel_y,radius,fill,fill_r,fill_g,fill_b,marker_width_pt,marker_height_pt,value,value_status,colourbar_y_px,colourbar_lab_distance,drawing_index,visible_status,numeric_use_allowed,coordinate_space
point,region_map,categorical_region_spot,Cancer,region_0047,180.76100158691406,80.7485466003418,0.8214381143174468,0.07691852079269769,419.837507,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,318,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Duct Epithelium,region_0048,119.37999725341797,83.9215202331543,0.14286501092082418,0.11537741129243495,164.083322,149.673001,3.177087,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,395,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Duct Epithelium,region_0049,122.61000061035156,83.9215202331543,0.1785730190529078,0.11537741129243495,177.541669,149.673001,3.177087,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,403,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Duct Epithelium,region_0050,125.84100341796875,83.9215202331543,0.2142920762116312,0.11537741129243495,191.004181,149.673001,3.177087,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,410,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Duct Epithelium,region_0051,129.0709991455078,83.9215202331543,0.25,0.11537741129243495,204.462496,149.673001,3.177087,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,423,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Duct Epithelium,region_0052,132.302001953125,83.9215202331543,0.2857190571587234,0.11537741129243495,217.925008,149.673001,3.177087,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,14,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Stroma,region_0053,135.5330047607422,83.9215202331543,0.3214381143174468,0.11537741129243495,231.387520,149.673001,3.177087,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,34,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Stroma,region_0054,138.76300048828125,83.9215202331543,0.3571460381058156,0.11537741129243495,244.845835,149.673001,3.177087,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,55,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0055,141.99400329589844,83.9215202331543,0.392865095264539,0.11537741129243495,258.308347,149.673001,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,76,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0056,145.2239990234375,83.9215202331543,0.4285730190529078,0.11537741129243495,271.766663,149.673001,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,98,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
