spot_id,region,pdf_x_pt,pdf_y_pt,panel_x_norm,panel_y_norm,fill_hex,fill_r,fill_g,fill_b,marker_width_pt,marker_height_pt,drawing_index,visible_status
region_0195,Duct Epithelium,138.76300048828125,109.3075065612793,0.3571460381058156,0.4230751678463671,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,47,vector_marker_extracted
region_0196,Duct Epithelium,141.99400329589844,109.3075065612793,0.392865095264539,0.4230751678463671,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,68,vector_marker_extracted
region_0197,Stroma,145.2239990234375,109.3075065612793,0.4285730190529078,0.4230751678463671,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,90,vector_marker_extracted
region_0198,Stroma,148.4550018310547,109.3075065612793,0.4642920762116312,0.4230751678463671,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,112,vector_marker_extracted
region_0199,Stroma,151.68499755859375,109.3075065612793,0.5,0.4230751678463671,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,134,vector_marker_extracted
region_0200,Stroma,154.91600036621094,109.3075065612793,0.5357190571587234,0.4230751678463671,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,155,vector_marker_extracted
region_0201,Pancreatic,158.14700317382812,109.3075065612793,0.5714381143174468,0.4230751678463671,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,176,vector_marker_extracted
region_0202,Pancreatic,161.3769989013672,109.3075065612793,0.6071460381058156,0.4230751678463671,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,196,vector_marker_extracted
region_0203,Pancreatic,164.60800170898438,109.3075065612793,0.642865095264539,0.4230751678463671,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,218,vector_marker_extracted
region_0204,Pancreatic,167.83799743652344,109.3075065612793,0.6785730190529078,0.4230751678463671,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,239,vector_marker_extracted
region_0205,Pancreatic,171.06900024414062,109.3075065612793,0.7142920762116312,0.4230751678463671,#99ce83,153,206,131,1.246002197265625,1.5250015258789062,257,vector_marker_extracted
region_0206,Stroma,174.3000030517578,109.3075065612793,0.7500111333703546,0.4230751678463671,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,276,vector_marker_extracted
region_0207,Cancer,177.52999877929688,109.3075065612793,0.7857190571587234,0.4230751678463671,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,293,vector_marker_extracted
region_0208,Cancer,180.76100158691406,109.3075065612793,0.8214381143174468,0.4230751678463671,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,309,vector_marker_extracted
region_0209,Cancer,183.99099731445312,109.3075065612793,0.8571460381058156,0.4230751678463671,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,325,vector_marker_extracted
region_0210,Cancer,187.2220001220703,109.3075065612793,0.892865095264539,0.4230751678463671,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,339,vector_marker_extracted
