series,sample_index,log10_molar,plotted_value,pdf_x_pt,pdf_y_pt,status
ADR,113,-7.885665279786149,41.79896431887921,136.77200317382812,254.62904357910156,curve_path_traced
ADR,114,-7.879725866823648,42.10050337101498,136.8280029296875,254.46102905273438,curve_path_traced
ADR,115,-7.7026035094173775,48.496877579293255,138.4980010986328,250.89703369140625,curve_path_traced
ADR,116,-7.696664096454875,48.800169287803264,138.5540008544922,250.72804260253906,curve_path_traced
ADR,117,-7.684785270529872,49.096313444537095,138.66600036621094,250.5630340576172,curve_path_traced
ADR,118,-7.672801250642317,49.699336778296946,138.77899169921875,250.22703552246094,curve_path_traced
ADR,119,-7.661239624973621,49.997260976660854,138.88800048828125,250.06103515625,curve_path_traced
ADR,120,-7.649360799048617,50.600284310420705,139.0,249.72503662109375,curve_path_traced
ADR,121,-7.637375160792408,50.89820850878462,139.11300659179688,249.5590362548828,curve_path_traced
ADR,122,-7.631542560161112,51.199720175664545,139.16799926757812,249.3910369873047,curve_path_traced
ADR,123,-7.2239483226486065,65.3008265755867,143.01100158691406,241.53404235839844,curve_path_traced
ADR,124,-7.212069496723603,65.59697073232054,143.1230010986328,241.36903381347656,curve_path_traced
ADR,125,-7.2001906707986,65.99898628816044,143.23500061035156,241.14503479003906,curve_path_traced
ADR,126,-7.188311844873596,66.30227799667044,143.3470001220703,240.97604370117188,curve_path_traced
ADR,127,-6.999203849211117,71.20007623446705,145.1300048828125,238.24703979492188,curve_path_traced
ADR,128,-6.987325023286113,71.3957165022409,145.24200439453125,238.13803100585938,curve_path_traced
ADR,129,-6.981704428948573,71.59850432179094,145.2949981689453,238.02503967285156,curve_path_traced
ADR,130,-6.975765015986072,71.79951209971088,145.3509979248047,237.9130401611328,curve_path_traced
ADR,131,-6.957841583136015,72.10102376659081,145.51998901367188,237.7450408935547,curve_path_traced
ADR,132,-6.951900551804859,72.29666403436467,145.5760040283203,237.6360321044922,curve_path_traced
ADR,133,-6.934082312917353,72.5981757012446,145.74400329589844,237.46803283691406,curve_path_traced
ADR,134,-6.928461718579815,72.80096352079462,145.7969970703125,237.35504150390625,curve_path_traced
ADR,135,-6.9165828926548105,72.99660378856848,145.90899658203125,237.24603271484375,curve_path_traced
ADR,136,-6.910643479692309,73.09710767752846,145.96499633789062,237.19003295898438,curve_path_traced
ADR,137,-6.904704066729806,73.29811545544841,146.02099609375,237.07803344726562,curve_path_traced
ADR,138,-6.892825240804804,73.39861934440839,146.13299560546875,237.02203369140625,curve_path_traced
ADR,139,-6.886779015511095,73.59962712232833,146.19000244140625,236.9100341796875,curve_path_traced
ADR,140,-6.875324202173606,73.70191105291839,146.29800415039062,236.85304260253906,curve_path_traced
ADR,141,-6.869279595248553,73.89755132069224,146.35499572753906,236.74403381347656,curve_path_traced
ADR,142,-6.845521943398546,74.29956687653214,146.57899475097656,236.52003479003906,curve_path_traced
ADR,143,-6.839582530436044,74.5005746544521,146.63499450683594,236.4080352783203,curve_path_traced
ADR,144,-6.828020904767348,74.60107854341207,146.74400329589844,236.35203552246094,curve_path_traced
ADR,145,-6.8220814918048465,74.79669142593008,146.8000030517578,236.2430419921875,curve_path_traced
ADR,146,-6.816036884879793,74.89719531489006,146.85699462890625,236.18704223632812,curve_path_traced
ADR,147,-6.804263252917341,74.99769920385003,146.96800231933594,236.13104248046875,curve_path_traced
